ID,Status,Post,DD,MM,YYYY
2254,Active,?????,04,04,2013
2255,Active,?????,04,04,2013
2256,Active,?????,04,04,2013
2257,Active,?????,04,04,2013
2258,Active,?????,04,04,2013
2259,Active,?????,04,04,2013
2260,Active,?????,04,04,2013
2261,Active,?????,04,04,2013
2262,Active,?????,04,04,2013
2263,Active,?????,04,04,2013
2264,Active,?????,04,04,2013
2265,Active,?????,04,04,2013
2266,Active,?????,04,04,2013
2267,Active,?????,04,04,2013
2268,Active,?????,04,04,2013
2269,Active,?????,04,04,2013
2270,Active,?????,02,04,2013
2271,Active,?????,02,04,2013
2272,Active,?????,02,04,2013
2273,Active,?????,02,04,2013
2274,Active,?????,05,04,2013
2275,Active,?????,05,04,2013
2276,Active,?????,05,04,2013
2277,Active,?????,05,04,2013
2278,Active,?????,05,04,2013
2279,Active,?????,05,04,2013
2280,Active,?????,05,04,2013
2281,Active,?????,05,04,2013
2282,Active,?????,05,04,2013
2283,Active,?????,??,??,????
2284,Active,?????,??,??,????
2285,Active,?????,??,??,????
2286,Active,?????,20,04,2013
2287,Active,?????,20,04,2013
2288,Active,?????,??,??,????
2289,Active,?????,??,??,????
2290,Active,?????,??,??,????
2291,Active,?????,??,??,????
2292,Active,?????,20,04,2013
2293,Active,?????,??,??,????
2294,Active,?????,??,??,????
2295,Active,?????,20,04,2013
2296,Active,?????,??,??,????
2297,Active,?????,??,??,????
2298,Active,?????,20,04,2013
2299,Active,?????,??,??,????
2300,Active,?????,??,??,????
2301,Active,?????,??,??,????
2302,Active,?????,??,??,????
2303,Active,?????,??,??,????
2304,Active,?????,??,??,????
2305,Active,?????,??,??,????
2306,Active,?????,??,??,????
2307,Inactive,00000,00,00,0000
2308,Inactive,00000,00,00,0000
2309,Active,?????,01,05,2013
2310,Active,?????,01,05,2013
2311,Active,?????,01,05,2013
2312,Active,?????,01,05,2013
2313,Active,?????,01,05,2013
2314,Active,?????,20,06,2013
2315,Active,?????,20,06,2013
2316,Active,?????,20,06,2013
2317,Active,?????,20,06,2013
2318,Active,?????,20,06,2013
2319,Active,?????,21,05,2013
2320,Active,?????,21,05,2013
2321,Active,?????,21,05,2013
2322,Active,?????,21,05,2013
2323,Active,?????,21,05,2013
2324,Active,?????,21,05,2013
2325,Active,?????,21,05,2013
2326,Active,?????,21,05,2013
