user,team,year
9069,Yellow Sharshel,2023
9069,Green Trido,2015
9069,Blue Audril,2016
9069,Green Trido,2017
9069,Blue Audril,2018
9069,Red Dovu,2022
9069,Blue Audril,2019
9069,Green Trido,2020
9069,Yellow Sharshel,2021
9192,Red Dovu,2022
9192,Yellow Sharshel,2023
9220,Blue Audril,2017
9220,Yellow Sharshel,2020
9507,Red Dovu,2020
10422,Green Trido,2015
10422,Red Dovu,2016
10796,Red Dovu,2019
11335,Blue Audril,2018
52495,Blue Audril,2016
52495,Red Dovu,2017
52495,Green Trido,2018
52495,Yellow Sharshel,2022
99376,Green Trido,2022
99376,Yellow Sharshel,2023
99376,Blue Audril,2019
99376,Red Dovu,2020
99735,Green Trido,2015
99735,Yellow Sharshel,2016
100169,Red Dovu,2019
100492,Yellow Sharshel,2017
100716,Red Dovu,2016
100716,Yellow Sharshel,2017
100716,Yellow Sharshel,2022
100716,Green Trido,2020
100716,Blue Audril,2021
101068,Blue Audril,2022
102347,Red Dovu,2016
102585,Green Trido,2018
102585,Blue Audril,2019
102585,Red Dovu,2020
102601,Green Trido,2016
102601,Blue Audril,2017
102601,Yellow Sharshel,2018
102790,Red Dovu,2022
102790,Yellow Sharshel,2023
102870,Green Trido,2023
102870,Blue Audril,2022
102895,Red Dovu,2017
103125,Yellow Sharshel,2015
103125,Blue Audril,2016
103125,Green Trido,2017
103125,Red Dovu,2018
103125,Red Dovu,2023
103125,Green Trido,2019
103222,Red Dovu,2018
103222,Blue Audril,2019
103222,Yellow Sharshel,2020
103222,Green Trido,2021
103868,Red Dovu,2023
103894,Yellow Sharshel,2015
106733,Green Trido,2016
107054,Red Dovu,2015
107054,Yellow Sharshel,2018
107913,Blue Audril,2015
108306,Yellow Sharshel,2015
108306,Green Trido,2016
108306,Yellow Sharshel,2017
108306,Blue Audril,2018
108306,Green Trido,2019
108306,Red Dovu,2020
108306,Yellow Sharshel,2021
108501,Green Trido,2018
108530,Green Trido,2017
108530,Green Trido,2023
108530,Blue Audril,2019
108530,Yellow Sharshel,2020
108530,Red Dovu,2021
108552,Yellow Sharshel,2022
108552,Green Trido,2020
108552,Red Dovu,2021
108552,Blue Audril,2023
109025,Red Dovu,2015
109025,Blue Audril,2016
109025,Yellow Sharshel,2017
109025,Blue Audril,2018
109025,Yellow Sharshel,2022
109025,Green Trido,2023
109025,Blue Audril,2019
109025,Green Trido,2020
109025,Red Dovu,2021
109383,Red Dovu,2016
109426,Blue Audril,2018
109426,Blue Audril,2022
109426,Green Trido,2023
109426,Red Dovu,2019
109426,Yellow Sharshel,2020
109426,Green Trido,2021
110219,Red Dovu,2019
110913,Red Dovu,2016
110913,Red Dovu,2022
110913,Yellow Sharshel,2019
110913,Blue Audril,2020
110913,Green Trido,2021
113253,Blue Audril,2022
113253,Green Trido,2023
113253,Yellow Sharshel,2020
115101,Green Trido,2016
115101,Blue Audril,2017
115101,Red Dovu,2018
115230,Red Dovu,2015
115230,Green Trido,2016
115230,Yellow Sharshel,2017
115230,Red Dovu,2018
115230,Yellow Sharshel,2019
115230,Green Trido,2020
115230,Blue Audril,2021
115459,Red Dovu,2017
115459,Blue Audril,2018
115459,Yellow Sharshel,2022
115459,Red Dovu,2023
115459,Green Trido,2019
115508,Yellow Sharshel,2017
116303,Red Dovu,2016
116394,Red Dovu,2016
116394,Yellow Sharshel,2023
116394,Green Trido,2019
117008,Yellow Sharshel,2019
117354,Blue Audril,2015
117689,Blue Audril,2015
117689,Yellow Sharshel,2022
117689,Blue Audril,2023
118156,Green Trido,2019
118156,Red Dovu,2020
118578,Yellow Sharshel,2015
118578,Green Trido,2016
118578,Blue Audril,2017
118578,Blue Audril,2018
119649,Yellow Sharshel,2015
119649,Red Dovu,2016
119688,Blue Audril,2015
120438,Red Dovu,2016
120438,Blue Audril,2023
121332,Yellow Sharshel,2018
121332,Green Trido,2023
121332,Blue Audril,2019
